CODES,DATES,RESULT
E1000180,2008/01/02,4.4363
E1000180,2008/01/03,4.4263
E1000180,2008/01/04,4.4013
E1000180,2008/01/07,4.3948
E1000180,2008/01/08,4.4024
E1000180,2008/01/09,4.4022
E1000180,2008/01/10,4.4067
E1000180,2008/01/11,4.3893
E1000180,2008/01/14,4.402
E1000180,2008/01/15,4.4022
E1000180,2008/01/16,4.4028
E1000180,2008/01/17,4.3978
E1000180,2008/01/18,4.403
E1000180,2008/01/21,4.3777
E1000180,2008/01/22,4.3679
E1000180,2008/01/23,4.2883
E1000180,2008/01/24,4.2433
E1000180,2008/01/25,4.244
E1000180,2008/01/28,4.2226
E1000180,2008/01/29,4.2539
E1000180,2008/01/30,4.2502
E1000180,2008/01/31,4.1937
E1000180,2008/02/01,4.1308
E1000180,2008/02/02,4.1307
E1000180,2008/02/03,4.1309
E1000180,2008/02/04,4.1311
E1000180,2008/02/05,4.1458
E1000180,2008/02/13,4.1559
E1000180,2008/02/14,4.1561
E1000180,2008/02/15,4.1791
E1000180,2008/02/18,4.1924
E1000180,2008/02/19,4.2176
E1000180,2008/02/20,4.1744
E1000180,2008/02/21,4.1818
E1000180,2008/02/22,4.16
E1000180,2008/02/25,4.1439
E1000180,2008/02/26,4.1413
E1000180,2008/02/27,4.1436
E1000180,2008/02/28,4.1283
E1000180,2008/02/29,4.1283
E1000180,2008/03/03,4.1285
E1000180,2008/03/04,4.1521
E1000180,2008/03/05,4.1635
E1000180,2008/03/06,4.1768
E1000180,2008/03/07,4.176
E1000180,2008/03/10,4.1768
E1000180,2008/03/11,4.1953
E1000180,2008/03/12,4.1954
E1000180,2008/03/13,4.17
E1000180,2008/03/14,4.15
E1000180,2008/03/17,4.1248
E1000180,2008/03/18,4.1151
E1000180,2008/03/19,4.075
E1000180,2008/03/20,4.08
E1000180,2008/03/21,4.08
E1000180,2008/03/24,4.077
E1000180,2008/03/25,4.0511
E1000180,2008/03/26,4.0404
E1000180,2008/03/27,4.0009
E1000180,2008/03/28,4.0116
E1000180,2008/03/31,4.046
E1000180,2008/04/01,4.0563
E1000180,2008/04/02,4.0517
E1000180,2008/04/03,4.0444
E1000180,2008/04/07,4.045
E1000180,2008/04/08,4.0451
E1000180,2008/04/09,4.0451
E1000180,2008/04/10,4.0405
E1000180,2008/04/11,4.0457
E1000180,2008/04/14,4.0436
E1000180,2008/04/15,4.0244
E1000180,2008/04/16,4.0184
E1000180,2008/04/17,4.0185
E1000180,2008/04/18,4.0085
E1000180,2008/04/21,4.0087
E1000180,2008/04/22,4.009
E1000180,2008/04/23,4.0244
E1000180,2008/04/24,4.0601
E1000180,2008/04/25,4.0654
E1000180,2008/04/28,4.0707
E1000180,2008/04/29,4.0736
E1000180,2008/04/30,4.0725
E1000180,2008/05/04,4.0704
E1000180,2008/05/05,4.0631
E1000180,2008/05/06,4.0632
E1000180,2008/05/07,4.135
E1000180,2008/05/08,4.1253
E1000180,2008/05/09,4.121
E1000180,2008/05/12,4.1517
E1000180,2008/05/13,4.1486
E1000180,2008/05/14,4.1653
E1000180,2008/05/15,4.1691
E1000180,2008/05/16,4.1493
E1000180,2008/05/19,4.1669
E1000180,2008/05/20,4.1676
E1000180,2008/05/21,4.1677
E1000180,2008/05/22,4.1631
E1000180,2008/05/23,4.1632
E1000180,2008/05/26,4.1636
E1000180,2008/05/27,4.1618
E1000180,2008/05/28,4.1676
E1000180,2008/05/29,4.1636
E1000180,2008/05/30,4.1589
E1000180,2008/06/02,4.1626
E1000180,2008/06/03,4.1588
E1000180,2008/06/04,4.1589
E1000180,2008/06/05,4.1591
E1000180,2008/06/06,4.1617
E1000180,2008/06/10,4.2069
E1000180,2008/06/11,4.3193
E1000180,2008/06/12,4.3009
E1000180,2008/06/13,4.3128
E1000180,2008/06/16,4.3179
E1000180,2008/06/17,4.3354
E1000180,2008/06/18,4.3356
E1000180,2008/06/19,4.3358
E1000180,2008/06/20,4.4213
E1000180,2008/06/23,4.4716
E1000180,2008/06/24,4.4626
E1000180,2008/06/25,4.4582
E1000180,2008/06/26,4.5182
E1000180,2008/06/27,4.558
E1000180,2008/06/30,4.5285
E1000180,2008/07/01,4.5309
E1000180,2008/07/02,4.536
E1000180,2008/07/03,4.5311
E1000180,2008/07/04,4.5313
E1000180,2008/07/07,4.5529
E1000180,2008/07/08,4.5331
E1000180,2008/07/09,4.5059
E1000180,2008/07/10,4.4725
E1000180,2008/07/11,4.4562
E1000180,2008/07/14,4.4328
E1000180,2008/07/15,4.4332
E1000180,2008/07/16,4.4338
E1000180,2008/07/17,4.434
E1000180,2008/07/18,4.4236
E1000180,2008/07/21,4.419
E1000180,2008/07/22,4.4135
E1000180,2008/07/23,4.4136
E1000180,2008/07/24,4.4137
E1000180,2008/07/25,4.4342
E1000180,2008/07/28,4.4374
E1000180,2008/07/29,4.44
E1000180,2008/07/30,4.4351
E1000180,2008/07/31,4.4401
E1000180,2008/08/01,4.4601
E1000180,2008/08/04,4.4612
E1000180,2008/08/05,4.4565
E1000180,2008/08/06,4.4411
E1000180,2008/08/07,4.5238
E1000180,2008/08/08,4.4988
E1000180,2008/08/11,4.5596
E1000180,2008/08/12,4.5139
E1000180,2008/08/13,4.5038
E1000180,2008/08/14,4.4736
E1000180,2008/08/15,4.4133
E1000180,2008/08/18,4.4141
E1000180,2008/08/19,4.4042
E1000180,2008/08/20,4.3944
E1000180,2008/08/21,4.3689
E1000180,2008/08/22,4.3554
E1000180,2008/08/25,4.3431
E1000180,2008/08/26,4.3292
E1000180,2008/08/27,4.3096
E1000180,2008/08/28,4.2753
E1000180,2008/08/29,4.2234
E1000180,2008/09/01,4.1363
E1000180,2008/09/02,4.1714
E1000180,2008/09/03,4.1411
E1000180,2008/09/04,4.1643
E1000180,2008/09/05,4.1703
E1000180,2008/09/08,4.1705
E1000180,2008/09/09,4.1429
E1000180,2008/09/10,4.1015
E1000180,2008/09/11,4.0631
E1000180,2008/09/12,3.9712
E1000180,2008/09/16,3.8
E1000180,2008/09/17,3.7119
E1000180,2008/09/18,3.712
E1000180,2008/09/19,3.69
E1000180,2008/09/22,3.7594
E1000180,2008/09/23,3.7612
E1000180,2008/09/24,3.7601
E1000180,2008/09/25,3.7276
E1000180,2008/09/26,3.7282
E1000180,2008/09/27,3.7143
E1000180,2008/09/28,3.7155
E1000180,2008/10/06,3.6809
E1000180,2008/10/07,3.5309
E1000180,2008/10/08,3.3499
E1000180,2008/10/09,3.15
E1000180,2008/10/10,3.051
E1000180,2008/10/13,3.126
E1000180,2008/10/14,3.1593
E1000180,2008/10/15,3.1062
E1000180,2008/10/16,3.1267
E1000180,2008/10/17,3.1768
E1000180,2008/10/20,3.182
E1000180,2008/10/21,3.1826
E1000180,2008/10/22,3.1922
E1000180,2008/10/23,3.1978
E1000180,2008/10/24,3.1931
E1000180,2008/10/27,3.1522
E1000180,2008/10/28,3.1042
E1000180,2008/10/29,3.0694
E1000180,2008/10/30,3.0703
E1000180,2008/10/31,3.0751
E1000180,2008/11/03,3.0549
E1000180,2008/11/04,3.0569
E1000180,2008/11/05,3.0676
E1000180,2008/11/06,3.0424
E1000180,2008/11/07,2.9767
E1000180,2008/11/10,2.9005
E1000180,2008/11/11,2.9221
E1000180,2008/11/12,2.8969
E1000180,2008/11/13,2.8639
E1000180,2008/11/14,2.9482
E1000180,2008/11/17,2.9984
E1000180,2008/11/18,2.9974
E1000180,2008/11/19,3.0885
E1000180,2008/11/20,3.0531
E1000180,2008/11/21,3.0049
E1000180,2008/11/24,3.0638
E1000180,2008/11/25,3.1728
E1000180,2008/11/26,3.1034
E1000180,2008/11/27,2.9064
E1000180,2008/11/28,2.9905
E1000180,2008/12/01,3.0378
E1000180,2008/12/02,3.0306
E1000180,2008/12/03,2.9467
E1000180,2008/12/04,2.9343
E1000180,2008/12/05,2.9061
E1000180,2008/12/08,2.9053
E1000180,2008/12/09,3.0072
E1000180,2008/12/10,3.013
E1000180,2008/12/11,3.004
E1000180,2008/12/12,2.9237
E1000180,2008/12/15,2.9186
E1000180,2008/12/16,2.9243
E1000180,2008/12/17,2.81
E1000180,2008/12/18,2.7043
E1000180,2008/12/19,2.7384
E1000180,2008/12/22,2.739
E1000180,2008/12/23,2.6887
E1000180,2008/12/24,2.7045
E1000180,2008/12/25,2.7047
E1000180,2008/12/26,2.7301
E1000180,2008/12/29,2.7559
E1000180,2008/12/30,2.7566
E1000180,2008/12/31,2.7521
E1000180,2009/01/04,2.7102
E1000180,2009/01/05,2.73
E1000180,2009/01/06,2.6909
E1000180,2009/01/07,2.6711
E1000180,2009/01/08,2.6716
E1000180,2009/01/09,2.6722
E1000180,2009/01/12,2.7
E1000180,2009/01/13,2.8257
E1000180,2009/01/14,2.8818
E1000180,2009/01/15,2.9897
E1000180,2009/01/16,2.994
E1000180,2009/01/19,3.0123
E1000180,2009/01/20,3.0995
E1000180,2009/01/21,3.1398
E1000180,2009/01/22,3.0619
E1000180,2009/01/23,3.0367
E1000180,2009/01/24,3.0368
E1000180,2009/02/01,3.0502
E1000180,2009/02/02,3.1433
E1000180,2009/02/03,3.1766
E1000180,2009/02/04,3.2946
E1000180,2009/02/05,3.4013
E1000180,2009/02/06,3.2967
E1000180,2009/02/09,3.269
E1000180,2009/02/10,3.3001
E1000180,2009/02/11,3.2323
E1000180,2009/02/12,3.1271
E1000180,2009/02/13,3.1321
E1000180,2009/02/16,3.1547
E1000180,2009/02/17,3.1897
E1000180,2009/02/18,3.1703
E1000180,2009/02/19,3.1385
E1000180,2009/02/20,3.1583
E1000180,2009/02/23,3.1555
E1000180,2009/02/24,3.1508
E1000180,2009/02/25,3.1412
E1000180,2009/02/26,3.1447
E1000180,2009/02/27,3.1508
E1000180,2009/03/02,3.1582
E1000180,2009/03/03,3.1755
E1000180,2009/03/04,3.2075
E1000180,2009/03/05,3.231
E1000180,2009/03/06,3.2291
E1000180,2009/03/09,3.2036
E1000180,2009/03/10,3.178
E1000180,2009/03/11,3.1331
E1000180,2009/03/12,3.1524
E1000180,2009/03/13,3.148
E1000180,2009/03/16,3.1534
E1000180,2009/03/17,3.1249
E1000180,2009/03/18,3.1
E1000180,2009/03/19,3.0768
E1000180,2009/03/20,3.0772
E1000180,2009/03/23,3.0831
E1000180,2009/03/24,3.1295
E1000180,2009/03/25,3.1297
E1000180,2009/03/26,3.1606
E1000180,2009/03/27,3.1594
E1000180,2009/03/30,3.1608
E1000180,2009/03/31,3.1612
E1000180,2009/04/01,3.1618
E1000180,2009/04/02,3.1714
E1000180,2009/04/03,3.1805
E1000180,2009/04/07,3.1805
E1000180,2009/04/08,3.1869
E1000180,2009/04/09,3.1949
E1000180,2009/04/10,3.1954
E1000180,2009/04/13,3.1953
E1000180,2009/04/14,3.2044
E1000180,2009/04/15,3.2114
E1000180,2009/04/16,3.1841
E1000180,2009/04/17,3.1634
E1000180,2009/04/20,3.1412
E1000180,2009/04/21,3.1616
E1000180,2009/04/22,3.1609
E1000180,2009/04/23,3.1618
E1000180,2009/04/24,3.1571
E1000180,2009/04/27,3.1579
E1000180,2009/04/28,3.1532
E1000180,2009/04/29,3.1286
E1000180,2009/04/30,3.1072
E1000180,2009/05/04,3.1092
E1000180,2009/05/05,3.1036
E1000180,2009/05/06,3.0795
E1000180,2009/05/07,3.0739
E1000180,2009/05/08,3.0701
E1000180,2009/05/11,3.0698
E1000180,2009/05/12,3.0662
E1000180,2009/05/13,3.0365
E1000180,2009/05/14,3.0318
E1000180,2009/05/15,3.0321
E1000180,2009/05/18,3.0277
E1000180,2009/05/19,3.0384
E1000180,2009/05/20,3.0386
E1000180,2009/05/21,3.0388
E1000180,2009/05/22,3.0434
E1000180,2009/05/25,3.0441
E1000180,2009/05/26,3.0546
E1000180,2009/05/27,3.039
E1000180,2009/05/31,3.0409
E1000180,2009/06/01,3.0615
E1000180,2009/06/02,3.0515
E1000180,2009/06/03,3.065
E1000180,2009/06/04,3.1349
E1000180,2009/06/05,3.1474
E1000180,2009/06/08,3.1543
E1000180,2009/06/09,3.1481
E1000180,2009/06/10,3.166
E1000180,2009/06/11,3.17
E1000180,2009/06/12,3.1868
E1000180,2009/06/15,3.1947
E1000180,2009/06/16,3.1476
E1000180,2009/06/17,3.1332
E1000180,2009/06/18,3.1536
E1000180,2009/06/19,3.1543
E1000180,2009/06/22,3.1876
E1000180,2009/06/23,3.2325
E1000180,2009/06/24,3.2397
E1000180,2009/06/25,3.2525
E1000180,2009/06/26,3.2628
E1000180,2009/06/29,3.2456
E1000180,2009/06/30,3.2403
E1000180,2009/07/01,3.23
E1000180,2009/07/02,3.2277
E1000180,2009/07/03,3.2534
E1000180,2009/07/06,3.2702
E1000180,2009/07/07,3.2706
E1000180,2009/07/08,3.2709
E1000180,2009/07/09,3.3068
E1000180,2009/07/10,3.3056
E1000180,2009/07/13,3.306
E1000180,2009/07/14,3.3322
E1000180,2009/07/15,3.3816
E1000180,2009/07/16,3.4421
E1000180,2009/07/17,3.451
E1000180,2009/07/20,3.478
E1000180,2009/07/21,3.4697
E1000180,2009/07/22,3.4522
E1000180,2009/07/23,3.4511
E1000180,2009/07/24,3.4588
E1000180,2009/07/27,3.5091
E1000180,2009/07/28,3.4866
E1000180,2009/07/29,3.502
E1000180,2009/07/30,3.4905
E1000180,2009/07/31,3.503
E1000180,2009/08/03,3.5034
E1000180,2009/08/04,3.515
E1000180,2009/08/05,3.5165
E1000180,2009/08/06,3.5167
E1000180,2009/08/07,3.5168
E1000180,2009/08/10,3.5177
E1000180,2009/08/11,3.518
E1000180,2009/08/12,3.5209
E1000180,2009/08/13,3.5187
E1000180,2009/08/14,3.518
E1000180,2009/08/17,3.5231
E1000180,2009/08/18,3.5242
E1000180,2009/08/19,3.5255
E1000180,2009/08/20,3.5162
E1000180,2009/08/21,3.5276
E1000180,2009/08/24,3.4886
E1000180,2009/08/25,3.4966
E1000180,2009/08/26,3.485
E1000180,2009/08/27,3.4847
E1000180,2009/08/28,3.48
E1000180,2009/08/31,3.4805
E1000180,2009/09/01,3.481
E1000180,2009/09/02,3.4982
E1000180,2009/09/03,3.4862
E1000180,2009/09/04,3.4698
E1000180,2009/09/07,3.4317
E1000180,2009/09/08,3.4268
E1000180,2009/09/09,3.4323
E1000180,2009/09/10,3.451
E1000180,2009/09/11,3.4652
E1000180,2009/09/14,3.4631
E1000180,2009/09/15,3.4581
E1000180,2009/09/16,3.4535
E1000180,2009/09/17,3.4636
E1000180,2009/09/18,3.4741
E1000180,2009/09/21,3.5132
E1000180,2009/09/22,3.5212
E1000180,2009/09/23,3.5126
E1000180,2009/09/24,3.5096
E1000180,2009/09/25,3.5101
E1000180,2009/09/27,3.5103
E1000180,2009/09/28,3.4917
E1000180,2009/09/29,3.5
E1000180,2009/09/30,3.5132
E1000180,2009/10/09,3.5542
E1000180,2009/10/10,3.5541
E1000180,2009/10/12,3.6043
E1000180,2009/10/13,3.6305
E1000180,2009/10/14,3.6787
E1000180,2009/10/15,3.7
E1000180,2009/10/16,3.7058
E1000180,2009/10/19,3.6789
E1000180,2009/10/20,3.6773
E1000180,2009/10/21,3.6933
E1000180,2009/10/22,3.6587
E1000180,2009/10/23,3.692
E1000180,2009/10/26,3.6925
E1000180,2009/10/27,3.6905
E1000180,2009/10/28,3.6855
E1000180,2009/10/29,3.6818
E1000180,2009/10/30,3.6886
E1000180,2009/11/02,3.692
E1000180,2009/11/03,3.6944
E1000180,2009/11/04,3.7038
E1000180,2009/11/05,3.7247
E1000180,2009/11/06,3.7303
E1000180,2009/11/09,3.7313
E1000180,2009/11/10,3.7281
E1000180,2009/11/11,3.6988
E1000180,2009/11/12,3.6918
E1000180,2009/11/13,3.6921
E1000180,2009/11/16,3.6927
E1000180,2009/11/17,3.6956
E1000180,2009/11/18,3.6885
E1000180,2009/11/19,3.6866
E1000180,2009/11/20,3.6648
E1000180,2009/11/23,3.6703
E1000180,2009/11/24,3.6504
E1000180,2009/11/25,3.651
E1000180,2009/11/26,3.6459
E1000180,2009/11/27,3.5759
E1000180,2009/11/30,3.5569
E1000180,2009/12/01,3.5723
E1000180,2009/12/02,3.5725
E1000180,2009/12/03,3.5929
E1000180,2009/12/04,3.5983
E1000180,2009/12/07,3.62
E1000180,2009/12/08,3.6292
E1000180,2009/12/09,3.6251
