日期,收盘价,累计最大值,回撤
2025-02-10,131.2441,131.2441,0.0000
2025-02-11,131.2485,131.2485,0.0000
2025-02-12,131.2501,131.2501,0.0000
2025-02-13,131.2301,131.2501,-0.0152
2025-02-14,131.1007,131.2501,-0.1138
2025-02-17,130.8845,131.2501,-0.2786
2025-02-18,130.7461,131.2501,-0.3840
2025-02-19,130.7680,131.2501,-0.3673
2025-02-20,130.6257,131.2501,-0.4757
2025-02-21,130.3961,131.2501,-0.6507
2025-02-24,130.0420,131.2501,-0.9205
2025-02-25,129.9941,131.2501,-0.9570
2025-02-26,130.0061,131.2501,-0.9478
2025-02-27,129.8357,131.2501,-1.0776
2025-02-28,129.8633,131.2501,-1.0566
2025-03-03,129.9505,131.2501,-0.9902
2025-03-04,129.9637,131.2501,-0.9801
2025-03-05,129.9860,131.2501,-0.9631
2025-03-06,129.8251,131.2501,-1.0857
2025-03-07,129.4708,131.2501,-1.3557
2025-03-10,129.3603,131.2501,-1.4398
2025-03-11,128.9766,131.2501,-1.7322
2025-03-12,129.1031,131.2501,-1.6358
2025-03-13,129.1238,131.2501,-1.6200
2025-03-14,129.1279,131.2501,-1.6169
2025-03-17,128.7487,131.2501,-1.9058
2025-03-18,128.7640,131.2501,-1.8942
2025-03-19,128.7938,131.2501,-1.8715
2025-03-20,129.0543,131.2501,-1.6730
2025-03-21,129.0685,131.2501,-1.6622
2025-03-24,129.0415,131.2501,-1.6827
2025-03-25,129.1717,131.2501,-1.5835
2025-03-26,129.2460,131.2501,-1.5269
2025-03-27,129.2719,131.2501,-1.5072
2025-03-28,129.2578,131.2501,-1.5179
2025-03-31,129.2893,131.2501,-1.4939
2025-04-01,129.3339,131.2501,-1.4600
2025-04-02,129.5128,131.2501,-1.3237
2025-04-03,130.0551,131.2501,-0.9105
2025-04-07,130.6161,131.2501,-0.4830
2025-04-08,130.3744,131.2501,-0.6672
2025-04-09,130.4046,131.2501,-0.6442
2025-04-10,130.3534,131.2501,-0.6832
2025-04-11,130.3828,131.2501,-0.6608
2025-04-14,130.3390,131.2501,-0.6942
2025-04-15,130.3257,131.2501,-0.7043
2025-04-16,130.3868,131.2501,-0.6578
2025-04-17,130.3222,131.2501,-0.7070
2025-04-18,130.3043,131.2501,-0.7206
2025-04-21,130.2435,131.2501,-0.7669
2025-04-22,130.2776,131.2501,-0.7410
2025-04-23,130.1996,131.2501,-0.8004
2025-04-24,130.2038,131.2501,-0.7972
2025-04-25,130.2213,131.2501,-0.7838
2025-04-27,130.2244,131.2501,-0.7815
2025-04-28,130.2988,131.2501,-0.7248
2025-04-29,130.4470,131.2501,-0.6119
2025-04-30,130.5150,131.2501,-0.5601
2025-05-06,130.5707,131.2501,-0.5176
2025-05-07,130.5159,131.2501,-0.5594
2025-05-08,130.6184,131.2501,-0.4813
2025-05-09,130.6683,131.2501,-0.4433
2025-05-12,130.4043,131.2501,-0.6444
2025-05-13,130.4495,131.2501,-0.6100
2025-05-14,130.4290,131.2501,-0.6256
2025-05-15,130.3995,131.2501,-0.6481
2025-05-16,130.3429,131.2501,-0.6912
2025-05-19,130.3977,131.2501,-0.6494
2025-05-20,130.4127,131.2501,-0.6380
2025-05-21,130.3793,131.2501,-0.6635
2025-05-22,130.3817,131.2501,-0.6616
2025-05-23,130.3629,131.2501,-0.6760
2025-05-26,130.3589,131.2501,-0.6790
2025-05-27,130.3213,131.2501,-0.7077
2025-05-28,130.2844,131.2501,-0.7358
2025-05-29,130.1519,131.2501,-0.8367
2025-05-30,130.2643,131.2501,-0.7511
2025-06-03,130.2694,131.2501,-0.7472
2025-06-04,130.2817,131.2501,-0.7378
2025-06-05,130.3081,131.2501,-0.7177
2025-06-06,130.3788,131.2501,-0.6638
2025-06-09,130.4314,131.2501,-0.6238
2025-06-10,130.4542,131.2501,-0.6064
2025-06-11,130.5366,131.2501,-0.5436
2025-06-12,130.5628,131.2501,-0.5237
2025-06-13,130.5685,131.2501,-0.5193
2025-06-16,130.5739,131.2501,-0.5152
2025-06-17,130.6344,131.2501,-0.4691
2025-06-18,130.6730,131.2501,-0.4397
2025-06-19,130.7612,131.2501,-0.3725
2025-06-20,130.8174,131.2501,-0.3297
2025-06-23,130.8369,131.2501,-0.3148
2025-06-24,130.7570,131.2501,-0.3757
2025-06-25,130.6799,131.2501,-0.4344
2025-06-26,130.6751,131.2501,-0.4381
2025-06-27,130.7045,131.2501,-0.4157
2025-06-30,130.6645,131.2501,-0.4462
2025-07-01,130.7212,131.2501,-0.4030
2025-07-02,130.8369,131.2501,-0.3148
2025-07-03,130.8594,131.2501,-0.2977
2025-07-04,130.8883,131.2501,-0.2757
2025-07-07,130.9044,131.2501,-0.2634
2025-07-08,130.8599,131.2501,-0.2973
2025-07-09,130.8556,131.2501,-0.3006
2025-07-10,130.7747,131.2501,-0.3622
2025-07-11,130.7370,131.2501,-0.3909
2025-07-14,130.6686,131.2501,-0.4430
2025-07-15,130.7704,131.2501,-0.3655
2025-07-16,130.7827,131.2501,-0.3561
2025-07-17,130.7950,131.2501,-0.3467
2025-07-18,130.7726,131.2501,-0.3638
2025-07-21,130.6604,131.2501,-0.4493
2025-07-22,130.5784,131.2501,-0.5118
2025-07-23,130.4575,131.2501,-0.6039
2025-07-24,130.2320,131.2501,-0.7757
2025-07-25,130.1962,131.2501,-0.8030
2025-07-28,130.3033,131.2501,-0.7214
2025-07-29,130.0776,131.2501,-0.8933
2025-07-30,130.1681,131.2501,-0.8244
2025-07-31,130.3292,131.2501,-0.7016
2025-08-01,130.3425,131.2501,-0.6915
2025-08-04,130.3728,131.2501,-0.6684
2025-08-05,130.3658,131.2501,-0.6738
2025-08-06,130.3851,131.2501,-0.6590
2025-08-07,130.4165,131.2501,-0.6351
2025-08-08,130.4124,131.2501,-0.6382
2025-08-11,130.2508,131.2501,-0.7614
2025-08-12,130.1091,131.2501,-0.8693
2025-08-13,130.0887,131.2501,-0.8849
2025-08-14,130.0189,131.2501,-0.9381
2025-08-15,129.9161,131.2501,-1.0164
2025-08-18,129.5252,131.2501,-1.3142
2025-08-19,129.5367,131.2501,-1.3054
2025-08-20,129.4813,131.2501,-1.3477
2025-08-21,129.4898,131.2501,-1.3412
2025-08-22,129.4620,131.2501,-1.3624
2025-08-25,129.5086,131.2501,-1.3269
2025-08-26,129.5826,131.2501,-1.2705
2025-08-27,129.6045,131.2501,-1.2538
2025-08-28,129.4773,131.2501,-1.3507
2025-08-29,129.4926,131.2501,-1.3390
2025-09-01,129.5242,131.2501,-1.3150
2025-09-02,129.5559,131.2501,-1.2908
2025-09-03,129.6600,131.2501,-1.2115
2025-09-04,129.7077,131.2501,-1.1752
2025-09-05,129.5732,131.2501,-1.2776
2025-09-08,129.4261,131.2501,-1.3897
2025-09-09,129.3227,131.2501,-1.4685
2025-09-10,129.1277,131.2501,-1.6171
2025-09-11,129.0916,131.2501,-1.6446
2025-09-12,129.1355,131.2501,-1.6111
2025-09-15,129.1355,131.2501,-1.6111
2025-09-16,129.1590,131.2501,-1.5932
2025-09-17,129.2379,131.2501,-1.5331
2025-09-18,129.1893,131.2501,-1.5701
2025-09-19,129.0696,131.2501,-1.6613
2025-09-22,129.0699,131.2501,-1.6611
2025-09-23,128.9472,131.2501,-1.7546
2025-09-24,128.7648,131.2501,-1.8936
2025-09-25,128.6772,131.2501,-1.9603
2025-09-26,128.6847,131.2501,-1.9546
2025-09-28,128.6885,131.2501,-1.9517
2025-09-29,128.6462,131.2501,-1.9839
2025-09-30,128.7093,131.2501,-1.9358
2025-10-09,128.8326,131.2501,-1.8419
2025-10-10,128.8105,131.2501,-1.8587
2025-10-11,129.0043,131.2501,-1.7111
2025-10-13,128.9263,131.2501,-1.7705
2025-10-14,128.8977,131.2501,-1.7923
2025-10-15,128.8627,131.2501,-1.8190
2025-10-16,128.9198,131.2501,-1.7755
2025-10-17,129.0554,131.2501,-1.6722
2025-10-20,128.9742,131.2501,-1.7340
2025-10-21,129.0025,131.2501,-1.7125
2025-10-22,129.0213,131.2501,-1.6981
2025-10-23,129.0026,131.2501,-1.7124
2025-10-24,128.9503,131.2501,-1.7522
2025-10-27,128.9446,131.2501,-1.7566
2025-10-28,129.1253,131.2501,-1.6189
2025-10-29,129.1479,131.2501,-1.6017
2025-10-30,129.1977,131.2501,-1.5637
2025-10-31,129.3151,131.2501,-1.4743
2025-11-03,129.3404,131.2501,-1.4550
2025-11-04,129.3381,131.2501,-1.4568
2025-11-05,129.3773,131.2501,-1.4269
2025-11-06,129.3114,131.2501,-1.4771
2025-11-07,129.2811,131.2501,-1.5002
2025-11-10,129.2915,131.2501,-1.4923
2025-11-11,129.3100,131.2501,-1.4782
2025-11-12,129.3534,131.2501,-1.4451
2025-11-13,129.3320,131.2501,-1.4614
2025-11-14,129.3313,131.2501,-1.4619
2025-11-17,129.3432,131.2501,-1.4529
2025-11-18,129.3592,131.2501,-1.4407
2025-11-19,129.3292,131.2501,-1.4635
2025-11-20,129.3298,131.2501,-1.4631
2025-11-21,129.2983,131.2501,-1.4871
2025-11-24,129.2877,131.2501,-1.4952
2025-11-25,129.2042,131.2501,-1.5588
2025-11-26,129.0574,131.2501,-1.6706
2025-11-27,128.9709,131.2501,-1.7365
2025-11-28,128.9785,131.2501,-1.7307
2025-12-01,128.9749,131.2501,-1.7335
2025-12-02,128.9056,131.2501,-1.7863
2025-12-03,128.8175,131.2501,-1.8534
2025-12-04,128.6267,131.2501,-1.9988
2025-12-05,128.6483,131.2501,-1.9823
2025-12-08,128.6262,131.2501,-1.9992
2025-12-09,128.6918,131.2501,-1.9492
2025-12-10,128.7307,131.2501,-1.9195
2025-12-11,128.8227,131.2501,-1.8494
2025-12-12,128.7808,131.2501,-1.8814
2025-12-15,128.6580,131.2501,-1.9749
2025-12-16,128.6437,131.2501,-1.9858
2025-12-17,128.7374,131.2501,-1.9144
2025-12-18,128.7620,131.2501,-1.8957
2025-12-19,128.8142,131.2501,-1.8559
2025-12-22,128.7887,131.2501,-1.8754
2025-12-23,128.8618,131.2501,-1.8197
2025-12-24,128.8974,131.2501,-1.7925
