日期,收盘价,累计最大值,回撤
2025-02-10,131.2441,131.2441,0.0
2025-02-11,131.2485,131.2485,0.0
2025-02-12,131.2501,131.2501,0.0
2025-02-13,131.2301,131.2501,-0.015238083628134556
2025-02-14,131.1007,131.2501,-0.1138284847021177
2025-02-17,130.8845,131.2501,-0.2785521687221576
2025-02-18,130.7461,131.2501,-0.3839997074287872
2025-02-19,130.768,131.2501,-0.36731400585599755
2025-02-20,130.6257,131.2501,-0.47573297087012384
2025-02-21,130.3961,131.2501,-0.6506661709210229
2025-02-24,130.042,131.2501,-0.9204564415569981
2025-02-25,129.9941,131.2501,-0.9569516518463608
2025-02-26,130.0061,131.2501,-0.9478088016694842
2025-02-27,129.8357,131.2501,-1.0776372741811249
2025-02-28,129.8633,131.2501,-1.0566087187743047
2025-03-03,129.9505,131.2501,-0.9901706741556753
2025-03-04,129.9637,131.2501,-0.9801135389611243
2025-03-05,129.986,131.2501,-0.9631230757157618
2025-03-06,129.8251,131.2501,-1.0857134585040402
2025-03-07,129.4708,131.2501,-1.3556561099763018
2025-03-10,129.3603,131.2501,-1.4398465220217036
2025-03-11,128.9766,131.2501,-1.732189156427319
2025-03-12,129.1031,131.2501,-1.635808277479401
2025-03-13,129.1238,131.2501,-1.6200368609243077
2025-03-14,129.1279,131.2501,-1.6169130537805245
2025-03-17,128.7487,131.2501,-1.905827119369806
2025-03-18,128.764,131.2501,-1.8941699853942915
2025-03-19,128.7938,131.2501,-1.8714652407883872
2025-03-20,129.0543,131.2501,-1.6729892015320305
2025-03-21,129.0685,131.2501,-1.6621701621560692
2025-03-24,129.0415,131.2501,-1.6827415750540302
2025-03-25,129.1717,131.2501,-1.5835416506349453
2025-03-26,129.246,131.2501,-1.5269321699564373
2025-03-27,129.2719,131.2501,-1.5071988516580295
2025-03-28,129.2578,131.2501,-1.517941700615847
2025-03-31,129.2893,131.2501,-1.493941718901552
2025-04-01,129.3339,131.2501,-1.4599607924108275
2025-04-02,129.5128,131.2501,-1.3236561343572344
2025-04-03,130.0551,131.2501,-0.9104754967805686
2025-04-07,130.6161,131.2501,-0.4830472510116294
2025-04-08,130.3744,131.2501,-0.6671994916575262
2025-04-09,130.4046,131.2501,-0.6441899853790705
2025-04-10,130.3534,131.2501,-0.6831994794670707
2025-04-11,130.3828,131.2501,-0.6607994965337171
2025-04-14,130.339,131.2501,-0.6941708996793181
2025-04-15,130.3257,131.2501,-0.7043042252920123
2025-04-16,130.3868,131.2501,-0.6577518798080988
2025-04-17,130.3222,131.2501,-0.7069708899269364
2025-04-18,130.3043,131.2501,-0.7206089747741078
2025-04-21,130.2435,131.2501,-0.7669327490036135
2025-04-22,130.2776,131.2501,-0.7409518164176611
2025-04-23,130.1996,131.2501,-0.8003803425673577
2025-04-24,130.2038,131.2501,-0.7971803450054531
2025-04-25,130.2213,131.2501,-0.7838470218308327
2025-04-27,130.2244,131.2501,-0.7814851188684812
2025-04-28,130.2988,131.2501,-0.7247994477718519
2025-04-29,130.447,131.2501,-0.6118852480874305
2025-04-30,130.515,131.2501,-0.5600757637518119
2025-05-06,130.5707,131.2501,-0.5176377008474776
2025-05-07,130.5159,131.2501,-0.5593900499885451
2025-05-08,130.6184,131.2501,-0.48129487139437993
2025-05-09,130.6683,131.2501,-0.4432758527422192
2025-05-12,130.4043,131.2501,-0.6444185566334784
2025-05-13,130.4495,131.2501,-0.6099804876339164
2025-05-14,130.429,131.2501,-0.625599523352745
2025-05-15,130.3995,131.2501,-0.6480756967042419
2025-05-16,130.3429,131.2501,-0.691199473371843
2025-05-19,130.3977,131.2501,-0.6494471242307756
2025-05-20,130.4127,131.2501,-0.6380185615096692
2025-05-21,130.3793,131.2501,-0.6634661611686412
2025-05-22,130.3817,131.2501,-0.6616375911332701
2025-05-23,130.3629,131.2501,-0.6759613897437085
2025-05-26,130.3589,131.2501,-0.6790090064693267
2025-05-27,130.3213,131.2501,-0.7076566036902032
2025-05-28,130.2844,131.2501,-0.7357708679840992
2025-05-29,130.1519,131.2501,-0.8367231720204338
2025-05-30,130.2643,131.2501,-0.7510851420303769
2025-06-03,130.2694,131.2501,-0.7471994307052056
2025-06-04,130.2817,131.2501,-0.7378280092738996
2025-06-05,130.3081,131.2501,-0.7177137388847759
2025-06-06,130.3788,131.2501,-0.6638471132593353
2025-06-09,130.4314,131.2501,-0.6237709533173741
2025-06-10,130.4542,131.2501,-0.6063995379813176
2025-06-11,130.5366,131.2501,-0.5436186334334301
2025-06-12,130.5628,131.2501,-0.5236567438805709
2025-06-13,130.5685,131.2501,-0.5193138900465623
2025-06-16,130.5739,131.2501,-0.5151996074669614
2025-06-17,130.6344,131.2501,-0.4691044044918853
2025-06-18,130.673,131.2501,-0.4396949030895988
2025-06-19,130.7612,131.2501,-0.37249495428955937
2025-06-20,130.8174,131.2501,-0.329675939294531
2025-06-23,130.8369,131.2501,-0.31481880775709054
2025-06-24,130.757,131.2501,-0.37569495185146395
2025-06-25,130.6799,131.2501,-0.4344377642378937
2025-06-26,130.6751,131.2501,-0.4380949043086573
2025-06-27,130.7045,131.2501,-0.4156949213753036
2025-06-30,130.6645,131.2501,-0.44617108863155114
2025-07-01,130.7212,131.2501,-0.40297112154580683
2025-07-02,130.8369,131.2501,-0.31481880775709054
2025-07-03,130.8594,131.2501,-0.29767596367546356
2025-07-04,130.8883,131.2501,-0.27565693283282566
2025-07-07,130.9044,131.2501,-0.2633902755121662
2025-07-08,130.8599,131.2501,-0.29729501158474775
2025-07-09,130.8556,131.2501,-0.30057119956479544
2025-07-10,130.7747,131.2501,-0.36220924784057884
2025-07-11,130.737,131.2501,-0.3909330354795985
2025-07-14,130.6686,131.2501,-0.44304728148778966
2025-07-15,130.7704,131.2501,-0.3654854358206266
2025-07-16,130.7827,131.2501,-0.35611401438932067
2025-07-17,130.795,131.2501,-0.34674259295803644
2025-07-18,130.7726,131.2501,-0.3638092466215203
2025-07-21,130.6604,131.2501,-0.4492948957753125
2025-07-22,130.5784,131.2501,-0.511771038650649
2025-07-23,130.4575,131.2501,-0.6038852541826581
2025-07-24,130.232,131.2501,-0.7756946470897957
2025-07-25,130.1962,131.2501,-0.8029708167841386
2025-07-28,130.3033,131.2501,-0.7213708789555179
2025-07-29,130.0776,131.2501,-0.8933326526989416
2025-07-30,130.1681,131.2501,-0.8243803242816529
2025-07-31,130.3292,131.2501,-0.7016375606571099
2025-08-01,130.3425,131.2501,-0.691504235044394
2025-08-04,130.3728,131.2501,-0.6684185383477735
2025-08-05,130.3658,131.2501,-0.6737518676176217
2025-08-06,130.3851,131.2501,-0.6590471169164893
2025-08-07,130.4165,131.2501,-0.6351233256203156
2025-08-08,130.4124,131.2501,-0.6382471327640987
2025-08-11,130.2508,131.2501,-0.7613708484793574
2025-08-12,130.1091,131.2501,-0.8693326709846249
2025-08-13,130.0887,131.2501,-0.8848755162853321
2025-08-14,130.0189,131.2501,-0.9380564281474842
2025-08-15,129.9161,131.2501,-1.0163801779960573
2025-08-18,129.5252,131.2501,-1.3142085225077855
2025-08-19,129.5367,131.2501,-1.305446624421625
2025-08-20,129.4813,131.2501,-1.3476561160715297
2025-08-21,129.4898,131.2501,-1.3411799305295773
2025-08-22,129.462,131.2501,-1.3623608667726839
2025-08-25,129.5086,131.2501,-1.3268561319191392
2025-08-26,129.5826,131.2501,-1.2704752224950608
2025-08-27,129.6045,131.2501,-1.2537895209222711
2025-08-28,129.4773,131.2501,-1.3507037327971478
2025-08-29,129.4926,131.2501,-1.3390465988216338
2025-09-01,129.5242,131.2501,-1.3149704266891955
2025-09-02,129.5559,131.2501,-1.290818064138614
2025-09-03,129.66,131.2501,-1.2115038388542232
2025-09-04,129.7077,131.2501,-1.1751610094011469
2025-09-05,129.5732,131.2501,-1.2776371218002798
2025-09-08,129.4261,131.2501,-1.3897132268851697
2025-09-09,129.3227,131.2501,-1.46849411924258
2025-09-10,129.1277,131.2501,-1.6170654346168107
2025-09-11,129.0916,131.2501,-1.6445701755655833
2025-09-12,129.1355,131.2501,-1.6111225820018389
2025-09-15,129.1355,131.2501,-1.6111225820018389
2025-09-16,129.159,131.2501,-1.593217833738802
2025-09-17,129.2379,131.2501,-1.5331035938258386
2025-09-18,129.1893,131.2501,-1.5701321370421815
2025-09-19,129.0696,131.2501,-1.661332067556516
2025-09-22,129.0699,131.2501,-1.6611034963021083
2025-09-23,128.9472,131.2501,-1.754589139360651
2025-09-24,128.7648,131.2501,-1.8935604620491682
2025-09-25,128.6772,131.2501,-1.96030326834037
2025-09-26,128.6847,131.2501,-1.9545889869798279
2025-09-28,128.6885,131.2501,-1.9516937510904744
2025-09-29,128.6462,131.2501,-1.983922297963971
2025-09-30,128.7093,131.2501,-1.935846144117216
2025-10-09,128.8326,131.2501,-1.8419033585498141
2025-10-10,128.8105,131.2501,-1.858741440958912
2025-10-11,129.0043,131.2501,-1.7110844106023557
2025-10-13,128.9263,131.2501,-1.7705129367520525
2025-10-14,128.8977,131.2501,-1.7923033963402824
2025-10-15,128.8627,131.2501,-1.8189700426895015
2025-10-16,128.9198,131.2501,-1.775465313931185
2025-10-17,129.0554,131.2501,-1.6721511069324988
2025-10-20,128.9742,131.2501,-1.73401772646269
2025-10-21,129.0025,131.2501,-1.7124558381288895
2025-10-22,129.0213,131.2501,-1.6981320395184512
2025-10-23,129.0026,131.2501,-1.7123796477107462
2025-10-24,128.9503,131.2501,-1.7522272363982996
2025-10-27,128.9446,131.2501,-1.7565700902323085
2025-10-28,129.1253,131.2501,-1.618894004652182
2025-10-29,129.1479,131.2501,-1.6016749701524118
2025-10-30,129.1977,131.2501,-1.5637321419183725
