CODES,DATES,CLOSE
000300.SH,2008/01/02,5385.103
000300.SH,2008/01/03,5422.034
000300.SH,2008/01/04,5483.65
000300.SH,2008/01/07,5556.593
000300.SH,2008/01/08,5528.054
000300.SH,2008/01/09,5613.758
000300.SH,2008/01/10,5672.154
000300.SH,2008/01/11,5699.147
000300.SH,2008/01/14,5731.757
000300.SH,2008/01/15,5696.45
000300.SH,2008/01/16,5505.717
000300.SH,2008/01/17,5365.624
000300.SH,2008/01/18,5414.468
000300.SH,2008/01/21,5145.734
000300.SH,2008/01/22,4753.868
000300.SH,2008/01/23,4975.111
000300.SH,2008/01/24,5027.213
000300.SH,2008/01/25,5077.429
000300.SH,2008/01/28,4731.883
000300.SH,2008/01/29,4762.083
000300.SH,2008/01/30,4710.652
000300.SH,2008/01/31,4620.401
000300.SH,2008/02/01,4571.945
000300.SH,2008/02/04,4950.124
000300.SH,2008/02/05,4921.829
000300.SH,2008/02/13,4816.084
000300.SH,2008/02/14,4880.252
000300.SH,2008/02/15,4813.311
000300.SH,2008/02/18,4910.992
000300.SH,2008/02/19,5020.753
000300.SH,2008/02/20,4908.717
000300.SH,2008/02/21,4876.03
000300.SH,2008/02/22,4702.241
000300.SH,2008/02/25,4519.783
000300.SH,2008/02/26,4515.533
000300.SH,2008/02/27,4639.768
000300.SH,2008/02/28,4622.056
000300.SH,2008/02/29,4674.55
000300.SH,2008/03/03,4790.744
000300.SH,2008/03/04,4671.148
000300.SH,2008/03/05,4628.724
000300.SH,2008/03/06,4685.03
000300.SH,2008/03/07,4621.685
000300.SH,2008/03/10,4431.589
000300.SH,2008/03/11,4441.184
000300.SH,2008/03/12,4309.648
000300.SH,2008/03/13,4198.96
000300.SH,2008/03/14,4157.871
000300.SH,2008/03/17,3965.279
000300.SH,2008/03/18,3763.948
000300.SH,2008/03/19,3888.861
000300.SH,2008/03/20,4001.832
000300.SH,2008/03/21,4037.83
000300.SH,2008/03/24,3857.091
000300.SH,2008/03/25,3905.774
000300.SH,2008/03/26,3914.37
000300.SH,2008/03/27,3748.92
000300.SH,2008/03/28,3918.156
000300.SH,2008/03/31,3790.53
000300.SH,2008/04/01,3582.855
000300.SH,2008/04/02,3547.977
000300.SH,2008/04/03,3650.698
000300.SH,2008/04/07,3845.822
000300.SH,2008/04/08,3891.059
000300.SH,2008/04/09,3688.125
000300.SH,2008/04/10,3754.715
000300.SH,2008/04/11,3783.728
000300.SH,2008/04/14,3536.327
000300.SH,2008/04/15,3583.299
000300.SH,2008/04/16,3494.016
000300.SH,2008/04/17,3386.63
000300.SH,2008/04/18,3272.499
000300.SH,2008/04/21,3267.554
000300.SH,2008/04/22,3296.277
000300.SH,2008/04/23,3453.727
000300.SH,2008/04/24,3774.504
000300.SH,2008/04/25,3803.07
000300.SH,2008/04/28,3729.154
000300.SH,2008/04/29,3776.943
000300.SH,2008/04/30,3959.119
000300.SH,2008/05/05,4055.779
000300.SH,2008/05/06,4010.888
000300.SH,2008/05/07,3821.319
000300.SH,2008/05/08,3925.041
000300.SH,2008/05/09,3878.924
000300.SH,2008/05/12,3904.92
000300.SH,2008/05/13,3851.687
000300.SH,2008/05/14,3975.782
000300.SH,2008/05/15,3948.088
000300.SH,2008/05/16,3936.121
000300.SH,2008/05/19,3914.072
000300.SH,2008/05/20,3710.818
000300.SH,2008/05/21,3783.049
000300.SH,2008/05/22,3711.444
000300.SH,2008/05/23,3675.147
000300.SH,2008/05/26,3559.217
000300.SH,2008/05/27,3576.197
000300.SH,2008/05/28,3676.23
000300.SH,2008/05/29,3580.868
000300.SH,2008/05/30,3611.33
000300.SH,2008/06/02,3625.826
000300.SH,2008/06/03,3614.111
000300.SH,2008/06/04,3546.916
000300.SH,2008/06/05,3512.138
000300.SH,2008/06/06,3489.502
000300.SH,2008/06/10,3206.562
000300.SH,2008/06/11,3140.299
000300.SH,2008/06/12,3084.633
000300.SH,2008/06/13,2979.117
000300.SH,2008/06/16,2952.242
000300.SH,2008/06/17,2842.676
000300.SH,2008/06/18,2991.273
000300.SH,2008/06/19,2773.076
000300.SH,2008/06/20,2849.668
000300.SH,2008/06/23,2789.941
000300.SH,2008/06/24,2851.915
000300.SH,2008/06/25,2969.537
000300.SH,2008/06/26,2980.907
000300.SH,2008/06/27,2816.021
000300.SH,2008/06/30,2791.819
000300.SH,2008/07/01,2698.347
000300.SH,2008/07/02,2699.597
000300.SH,2008/07/03,2760.612
000300.SH,2008/07/04,2741.852
000300.SH,2008/07/07,2882.763
000300.SH,2008/07/08,2901.841
000300.SH,2008/07/09,3015.126
000300.SH,2008/07/10,2973.728
000300.SH,2008/07/11,2953.498
000300.SH,2008/07/14,2975.874
000300.SH,2008/07/15,2852.979
000300.SH,2008/07/16,2745.596
000300.SH,2008/07/17,2718.068
000300.SH,2008/07/18,2815.462
000300.SH,2008/07/21,2911.051
000300.SH,2008/07/22,2904.743
000300.SH,2008/07/23,2883.32
000300.SH,2008/07/24,2977.362
000300.SH,2008/07/25,2939.202
000300.SH,2008/07/28,2960.851
000300.SH,2008/07/29,2905.63
000300.SH,2008/07/30,2884.384
000300.SH,2008/07/31,2805.21
000300.SH,2008/08/01,2840.788
000300.SH,2008/08/04,2773.15
000300.SH,2008/08/05,2703.079
000300.SH,2008/08/06,2721.693
000300.SH,2008/08/07,2720.442
000300.SH,2008/08/08,2591.462
000300.SH,2008/08/11,2456.811
000300.SH,2008/08/12,2444.155
000300.SH,2008/08/13,2444.672
000300.SH,2008/08/14,2443.512
000300.SH,2008/08/15,2447.615
000300.SH,2008/08/18,2313.402
000300.SH,2008/08/19,2348.472
000300.SH,2008/08/20,2532.94
000300.SH,2008/08/21,2443.979
000300.SH,2008/08/22,2404.928
000300.SH,2008/08/25,2400.548
000300.SH,2008/08/26,2331.532
000300.SH,2008/08/27,2325.292
000300.SH,2008/08/28,2335.865
000300.SH,2008/08/29,2391.64
000300.SH,2008/09/01,2309.171
000300.SH,2008/09/02,2285.411
000300.SH,2008/09/03,2245.964
000300.SH,2008/09/04,2251.146
000300.SH,2008/09/05,2183.432
000300.SH,2008/09/08,2126.518
000300.SH,2008/09/09,2139.145
000300.SH,2008/09/10,2143.176
000300.SH,2008/09/11,2072.126
000300.SH,2008/09/12,2077.846
000300.SH,2008/09/16,2000.651
000300.SH,2008/09/17,1929.135
000300.SH,2008/09/18,1895.99
000300.SH,2008/09/19,2073.113
000300.SH,2008/09/22,2207.614
000300.SH,2008/09/23,2123.478
000300.SH,2008/09/24,2138.853
000300.SH,2008/09/25,2223.532
000300.SH,2008/09/26,2243.657
000300.SH,2008/10/06,2128.696
000300.SH,2008/10/07,2102.448
000300.SH,2008/10/08,2022.881
000300.SH,2008/10/09,1995.297
000300.SH,2008/10/10,1906.96
000300.SH,2008/10/13,1985.486
000300.SH,2008/10/14,1934.619
000300.SH,2008/10/15,1914.356
000300.SH,2008/10/16,1820.903
000300.SH,2008/10/17,1833.262
000300.SH,2008/10/20,1896.733
000300.SH,2008/10/21,1881.406
000300.SH,2008/10/22,1833.323
000300.SH,2008/10/23,1834.78
000300.SH,2008/10/24,1781.598
000300.SH,2008/10/27,1654.671
000300.SH,2008/10/28,1705.82
000300.SH,2008/10/29,1658.223
000300.SH,2008/10/30,1697.656
000300.SH,2008/10/31,1663.66
000300.SH,2008/11/03,1653.542
000300.SH,2008/11/04,1627.759
000300.SH,2008/11/05,1691.42
000300.SH,2008/11/06,1649.776
000300.SH,2008/11/07,1677.827
000300.SH,2008/11/10,1801.665
000300.SH,2008/11/11,1781.361
000300.SH,2008/11/12,1801.823
000300.SH,2008/11/13,1874.082
000300.SH,2008/11/14,1943.654
000300.SH,2008/11/17,1987.225
000300.SH,2008/11/18,1839.819
000300.SH,2008/11/19,1953.163
000300.SH,2008/11/20,1932.428
000300.SH,2008/11/21,1920.735
000300.SH,2008/11/24,1837.642
000300.SH,2008/11/25,1834.294
000300.SH,2008/11/26,1843.495
000300.SH,2008/11/27,1870.473
000300.SH,2008/11/28,1829.924
000300.SH,2008/12/01,1864.205
000300.SH,2008/12/02,1868.631
000300.SH,2008/12/03,1952.668
000300.SH,2008/12/04,1982.928
000300.SH,2008/12/05,2013.175
000300.SH,2008/12/08,2095.036
000300.SH,2008/12/09,2040.847
000300.SH,2008/12/10,2096.393
000300.SH,2008/12/11,2046.337
000300.SH,2008/12/12,1960.38
000300.SH,2008/12/15,1975.034
000300.SH,2008/12/16,1994.45
000300.SH,2008/12/17,2001.42
000300.SH,2008/12/18,2045.102
000300.SH,2008/12/19,2052.114
000300.SH,2008/12/22,2017.549
000300.SH,2008/12/23,1918.955
000300.SH,2008/12/24,1887.075
000300.SH,2008/12/25,1870.765
000300.SH,2008/12/26,1862.096
000300.SH,2008/12/29,1854.757
000300.SH,2008/12/30,1833.435
000300.SH,2008/12/31,1817.722
